date,t,s,i,r
2020-10-29,248,58999599.13326863,116.08065337083758,1000284.786077997
2020-10-30,249,58999599.129972376,110.68576740722428,1000290.1842602222
2020-10-31,250,58999599.1269469,105.54149570834753,1000295.331557399
2020-11-01,251,58999599.12416996,100.63620568998394,1000300.23962435
2020-11-02,252,58999599.121621154,95.95880388937582,1000304.9195749552
2020-11-03,253,58999599.11928174,91.49871109376922,1000309.3820071672
2020-11-04,254,58999599.11713451,87.24583858255555,1000313.637026904
2020-11-05,255,58999599.11516369,83.19056538594099,1000317.6942709234
2020-11-06,256,58999599.11335478,79.32371666760145,1000321.5629285533
2020-11-07,257,58999599.111694485,75.6365431157896,1000325.2517624047
2020-11-08,258,58999599.11017059,72.12070120742611,1000328.7691282083
2020-11-09,259,58999599.10877189,68.76823442200624,1000332.1229936912
2020-11-10,260,58999599.10748811,65.57155537016222,1000335.3209565273
2020-11-11,261,58999599.1063098,62.523428672550075,1000338.3702615349
2020-11-12,262,58999599.1052283,59.61695463322966,1000341.2778170763
2020-11-13,263,58999599.10423565,56.84555374201546,1000344.0502106141
2020-11-14,264,58999599.103324555,54.202951823568704,1000346.6937236227
2020-11-15,265,58999599.102488324,51.683165857997274,1000349.214345823
2020-11-16,266,58999599.101720795,49.28049053635556,1000351.6177886737
2020-11-17,267,58999599.10101633,46.98948538137408,1000353.9094982956
2020-11-18,268,58999599.10036974,44.80496243412713,1000356.0946678296
2020-11-19,269,58999599.099776275,42.72197458955363,1000358.1782491357
2020-11-20,270,58999599.09923157,40.73580442830071,1000360.1649639977
2020-11-21,271,58999599.09873163,38.84195353485511,1000362.0593148372
2020-11-22,272,58999599.098272756,37.03613236912773,1000363.8655948716
2020-11-23,273,58999599.0978516,35.31425058561054,1000365.587897821
2020-11-24,274,58999599.09746504,33.672407766180385,1000367.2301272011
2020-11-25,275,58999599.097110234,32.10688462621215,1000368.7960051401
2020-11-26,276,58999599.09678459,30.61413462358353,1000370.2890807893
2020-11-27,277,58999599.096485704,29.190775922735497,1000371.7127383796
2020-11-28,278,58999599.096211374,27.83358375698257,1000373.0702048762
2020-11-29,279,58999599.09595958,26.539483156052263,1000374.3645572672
2020-11-30,280,58999599.09572848,25.3055419797554,1000375.5987295444
2020-12-01,281,58999599.09551637,24.12896428434659,1000376.775519352
2020-12-02,282,58999599.095321685,23.007084020062262,1000377.8975942999
2020-12-03,283,58999599.095143,21.93735899219157,1000378.9674980143
2020-12-04,284,58999599.09497899,20.91736509934013,1000379.9876559115
2020-12-05,285,58999599.094828464,19.944790871884173,1000380.9603806674
2020-12-06,286,58999599.09469031,19.017432236785748,1000381.8878774621
2020-12-07,287,58999599.0945635,18.133187517347103,1000382.7722489886
2020-12-08,288,58999599.09444711,17.290052696484242,1000383.615500197
2020-12-09,289,58999599.09434029,16.486116879588344,1000384.419542838
2020-12-10,290,58999599.09424224,15.719557955983628,1000385.1861998079
2020-12-11,291,58999599.09415225,14.988638489938618,1000385.9172092638
2020-12-12,292,58999599.09406965,14.291701788802907,1000386.6142285604
2020-12-13,293,58999599.09399384,13.627168140631467,1000387.278838017
2020-12-14,294,58999599.09392426,12.993531247829445,1000387.9125444891
2020-12-15,295,58999599.0938604,12.389354820353763,1000388.5167847784
2020-12-16,296,58999599.09380178,11.813269314007313,1000389.0929288991
2020-12-17,297,58999599.09374799,11.263968834372603,1000389.6422831767
