date,t,s,i,r
2020-11-12,262,58648292.25432002,1.3338810261813152,1351706.4117990148
2020-11-13,263,58648292.254150815,1.2420901774297857,1351706.5037590605
2020-11-14,264,58648292.25399797,1.156611366878248,1351706.5893907219
2020-11-15,265,58648292.25385988,1.0770109888419384,1351706.669129183
2020-11-16,266,58648292.25373515,1.0028851636437321,1351706.7433797503
2020-11-17,267,58648292.25362246,0.9338577471149626,1351706.812519856
2020-11-18,268,58648292.25352065,0.8695783833522234,1351706.8769010203
2020-11-19,269,58648292.25342868,0.8097207717986519,1351706.9368505958
2020-11-20,270,58648292.25334561,0.7539810095059979,1351706.9926734352
2020-11-21,271,58648292.25327056,0.7020760426634438,1351707.0446534515
2020-11-22,272,58648292.25320276,0.6537422687232269,1351707.0930550222
2020-11-23,273,58648292.253141515,0.6087341690001071,1351707.138124367
2020-11-24,274,58648292.253086194,0.5668230934331239,1351707.180090769
2020-11-25,275,58648292.25303621,0.5277960957933442,1351707.2191677457
2020-11-26,276,58648292.252991065,0.4914548480179751,1351707.2555541424
2020-11-27,277,58648292.25295028,0.45761465890900244,1351707.2894351168
2020-11-28,278,58648292.25291344,0.4261035144415487,1351707.3209831046
2020-11-29,279,58648292.252880156,0.3967612258960071,1351707.3503586755
2020-11-30,280,58648292.25285009,0.3694386117952463,1351707.3777113548
2020-12-01,281,58648292.25282292,0.3439967370753514,1351707.4031803887
2020-12-02,282,58648292.25279839,0.3203062244442773,1351707.4268954354
2020-12-03,283,58648292.25277622,0.2982465811613769,1351707.4489772415
2020-12-04,284,58648292.2527562,0.2777056020856107,1351707.4695382407
2020-12-05,285,58648292.25273812,0.2585787953530028,1351707.4886831325
2020-12-06,286,58648292.25272178,0.24076884940486565,1351707.506509415
2020-12-07,287,58648292.25270702,0.22418514985712698,1351707.523107872
2020-12-08,288,58648292.25269369,0.20874330744018435,1351707.5385630452
2020-12-09,289,58648292.25268164,0.19436473979591823,1351707.552953655
2020-12-10,290,58648292.252670765,0.18097626840999917,1351707.5663530042
2020-12-11,291,58648292.252660945,0.1685097453865,1351707.5788293534
2020-12-12,292,58648292.252652064,0.15690171457426336,1351707.5904462605
2020-12-13,293,58648292.25264405,0.14609308068503946,1351707.6012629126
2020-12-14,294,58648292.252636805,0.1360288163815109,1351707.6113344198
2020-12-15,295,58648292.25263026,0.12665767948230378,1351707.6207120994
2020-12-16,296,58648292.25262435,0.1179319516805441,1351707.6294437374
2020-12-17,297,58648292.25261901,0.10980720089789628,1351707.637573827
2020-12-18,298,58648292.25261419,0.10224204943711959,1351707.6451438009
2020-12-19,299,58648292.252609834,0.09519796886226903,1351707.6521922376
2020-12-20,300,58648292.2526059,0.08863908163920496,1351707.6587550598
2020-12-21,301,58648292.252602346,0.08253197826920505,1351707.6648657178
2020-12-22,302,58648292.252599135,0.07684555065711773,1351707.6705553562
2020-12-23,303,58648292.25259623,0.07155082970584214,1351707.6758529774
2020-12-24,304,58648292.252593614,0.06662084169654477,1351707.6807855854
2020-12-25,305,58648292.252591245,0.06203046918599409,1351707.6853783247
2020-12-26,306,58648292.25258911,0.057756323050118345,1351707.6896546087
2020-12-27,307,58648292.25258718,0.05377662565953043,1351707.6936362372
2020-12-28,308,58648292.25258543,0.05007109718988413,1351707.6973435099
2020-12-29,309,58648292.252583854,0.04662085539647188,1351707.7007953273
2020-12-30,310,58648292.25258243,0.043408317253318236,1351707.704009289
2020-12-31,311,58648292.25258114,0.040417108700829374,1351707.707001783
2021-01-01,312,58648292.25257998,0.037631985998307665,1351707.709788067
2021-01-02,313,58648292.25257893,0.03503875373026903,1351707.7123823483
2021-01-03,314,58648292.25257798,0.03262419332438361,1351707.7147978565
2021-01-04,315,58648292.252577126,0.030375998134196246,1351707.7170469076
2021-01-05,316,58648292.25257635,0.02828270742986302,1351707.7191409715
2021-01-06,317,58648292.25257565,0.026333649865159518,1351707.7210907275
2021-01-07,318,58648292.252575025,0.02451889017482029,1351707.722906118
2021-01-08,319,58648292.25257445,0.022829175869867577,1351707.7245964021
2021-01-09,320,58648292.25257394,0.02125589242667249,1351707.7261702004
2021-01-10,321,58648292.252573475,0.01979101900312864,1351707.727635539
2021-01-11,322,58648292.25257306,0.018427086294392884,1351707.7289998916
2021-01-12,323,58648292.25257268,0.01715714027324478,1351707.730270217
2021-01-13,324,58648292.252572335,0.01597470563180607,1351707.7314529943
2021-01-14,325,58648292.25257203,0.014873752416006327,1351707.7325542571
2021-01-15,326,58648292.25257175,0.013848667076069974,1351707.733579622
2021-01-16,327,58648292.25257149,0.01289422225565046,1351707.7345343195
2021-01-17,328,58648292.25257126,0.012005550431819157,1351707.7354232194
2021-01-18,329,58648292.25257106,0.011178120063784762,1351707.736250856
2021-01-19,330,58648292.252570875,0.010407711223125157,1351707.737021451
2021-01-20,331,58648292.2525707,0.00969039473504867,1351707.7377389355
2021-01-21,332,58648292.252570555,0.009022512523720836,1351707.7384069697
2021-01-22,333,58648292.25257041,0.008400657995760872,1351707.7390289612
2021-01-23,334,58648292.25257029,0.00782165952195528,1351707.7396080836
2021-01-24,335,58648292.252570175,0.007282564127024128,1351707.740147291
2021-01-25,336,58648292.25257007,0.006780621938508831,1351707.7406493344
2021-01-26,337,58648292.25256998,0.006313272853767749,1351707.7411167747
2021-01-27,338,58648292.2525699,0.005878133073189386,1351707.741551997
2021-01-28,339,58648292.252569824,0.005472982801298568,1351707.7419572216
2021-01-29,340,58648292.25256976,0.005095755554614894,1351707.7423345163
2021-01-30,341,58648292.25256969,0.004744527054330247,1351707.7426858055
2021-01-31,342,58648292.25256964,0.004417505510566749,1351707.743012882
2021-02-01,343,58648292.252569586,0.004113022859021676,1351707.7433174143
2021-02-02,344,58648292.25256954,0.0038295257670238124,1351707.7436009562
2021-02-03,345,58648292.2525695,0.0035655679503697473,1351707.7438649544
2021-02-04,346,58648292.25256947,0.003319802933960408,1351707.744110756
2021-02-05,347,58648292.25256944,0.0030909768319219494,1351707.744339615
2021-02-06,348,58648292.25256941,0.0028779222602351596,1351707.7445526996
2021-02-07,349,58648292.25256938,0.0026795523315229336,1351707.7447510965
2021-02-08,350,58648292.252569355,0.0024948549215326157,1351707.744935818
2021-02-09,351,58648292.25256933,0.0023228877833749084,1351707.7451078072
2021-02-10,352,58648292.25256931,0.0021627735551655535,1351707.7452679414
2021-02-11,353,58648292.25256929,0.002013695284046362,1351707.7454170375
2021-02-12,354,58648292.25256927,0.0018748925243946518,1351707.7455558565
2021-02-13,355,58648292.25256926,0.0017456570431315782,1351707.7456851066
2021-02-14,356,58648292.25256924,0.0016253291460539138,1351707.7458054475
2021-02-15,357,58648292.252569236,0.0015132949637184437,1351707.7459174937
2021-02-16,358,58648292.25256922,0.0014089829813123927,1351707.7460218165
2021-02-17,359,58648292.25256921,0.0013118609411746226,1351707.7461189483
2021-02-18,360,58648292.252569206,0.0012214332228698914,1351707.7462093846
2021-02-19,361,58648292.2525692,0.0011372383198069986,1351707.7462935876
2021-02-20,362,58648292.25256919,0.00105884680374073,1351707.7463719863
2021-02-21,363,58648292.25256919,0.0009858590433390413,1351707.7464449806
2021-02-22,364,58648292.25256918,0.0009179021662146696,1351707.7465129434
